layer,unit,description,similarity
head,0,carp,0.36618042
head,1,fishes,0.2666626
head,2,underwater,0.21810913
head,3,underwater,0.32199097
head,4,underwater,0.27737427
head,5,underwater,0.21365356
head,6,underwater,0.16360474
head,7,chickens,0.39013672
head,8,chickens,0.51605225
head,9,emu,0.4675293
head,10,birding,0.5239258
head,11,birding,0.33587646
head,12,sparrow,0.48510742
head,13,sparrow,0.40704346
head,14,birding,0.42474365
head,15,birding,0.41723633
head,16,bird,0.45965576
head,17,bird,0.30490112
head,18,bird,0.32196045
head,19,birding,0.3862915
head,20,juvenile,0.45391846
head,21,hawk,0.5933838
head,22,eagle,0.5566101
head,23,eagle,0.43347168
head,24,owl,0.41412354
head,25,granite,0.3699646
head,26,sediment,0.28945923
head,27,leaf,0.26696777
head,28,leaf,0.2965088
head,29,resin,0.15487671
head,30,algae,0.15002441
head,31,leaf,0.5153198
head,32,soil,0.21502686
head,33,sediments,0.23669434
head,34,sand,0.23434448
head,35,sediment,0.28146362
head,36,granite,0.21188354
head,37,sediments,0.26785278
head,38,granite,0.35617065
head,39,texture,0.1437378
head,40,leaf,0.2788086
head,41,aggregate,0.2921753
head,42,granite,0.39944458
head,43,leaf,0.14715576
head,44,aggregate,0.283844
head,45,hoodia,0.35043335
head,46,leaf,0.26190186
head,47,leaf,0.22039795
head,48,scales,0.20257568
head,49,wetland,0.23947144
head,50,wetland,0.20455933
head,51,museum,0.28845215
head,52,texture,0.2715149
head,53,texture,0.2791748
head,54,texture,0.27346802
head,55,fireplace,0.32028198
head,56,scales,0.24972534
head,57,texture,0.21795654
head,58,texture,0.23071289
head,59,leaf,0.26470947
head,60,scales,0.33462524
head,61,scales,0.30499268
head,62,python,0.30142212
head,63,scales,0.21676636
head,64,scales,0.27319336
head,65,aquaculture,0.1736145
head,66,scales,0.2854004
head,67,scales,0.20977783
head,68,scales,0.3074646
head,69,limestone,0.38424683
head,70,leaf,0.35205078
head,71,granite,0.31802368
head,72,webs,0.61325073
head,73,web,0.6897278
head,74,webs,0.6769104
head,75,marble,0.33251953
head,76,soil,0.14608765
head,77,webs,0.5227356
head,78,melanoma,0.3684082
head,79,limestone,0.45458984
head,80,birding,0.38983154
head,81,juvenile,0.3361206
head,82,juvenile,0.43692017
head,83,juvenile,0.43566895
head,84,peacock,0.2284851
head,85,juvenile,0.40490723
head,86,juvenile,0.43032837
head,87,parrot,0.46362305
head,88,parrot,0.4977417
head,89,parrot,0.4074402
head,90,parrot,0.48712158
head,91,juvenile,0.45135498
head,92,bird,0.40707397
head,93,bird,0.3151245
head,94,hummer,0.45983887
head,95,female,0.4883423
head,96,parrot,0.2836914
head,97,duck,0.40219116
head,98,duck,0.36627197
head,99,goose,0.42919922
head,100,swan,0.3163147
head,101,elephants,0.39611816
head,102,hoodia,0.19781494
head,103,otter,0.12225342
head,104,sheep,0.19833374
head,105,vegetation,0.13604736
head,106,emule,0.13064575
head,107,resin,0.2341919
head,108,crystals,0.2675476
head,109,coral,0.27441406
head,110,sediments,0.2883606
head,111,collagen,0.29452515
head,112,geological,0.23001099
head,113,spiral,0.2600708
head,114,granite,0.24417114
head,115,carcinoma,0.25061035
head,116,sediments,0.3251648
head,117,spiral,0.40008545
head,118,culinary,0.3645935
head,119,granite,0.3510437
head,120,aggregate,0.26239014
head,121,seafood,0.306427
head,122,seafood,0.34939575
head,123,seafood,0.18057251
head,124,cooking,0.32965088
head,125,sediments,0.16653442
head,126,quartz,0.340271
head,127,ibis,0.42340088
head,128,ibis,0.5015869
head,129,ibis,0.40740967
head,130,flamingo,0.42044067
head,131,crane,0.4164734
head,132,ibis,0.45062256
head,133,birding,0.34603882
head,134,crane,0.4968567
head,135,birding,0.40411377
head,136,bird,0.3894043
head,137,ducks,0.37728882
head,138,namibia,0.25976562
head,139,gull,0.41464233
head,140,birding,0.40423584
head,141,birding,0.3817749
head,142,birding,0.4086914
head,143,gull,0.42575073
head,144,pelican,0.4430542
head,145,antarctic,0.25891113
head,146,gull,0.50253296
head,147,sea,0.2571411
head,148,dolphins,0.3403015
head,149,underwater,0.25613403
head,150,seals,0.3022461
head,151,basename,0.38735962
head,152,dog,0.29852295
head,153,maltese,0.53182983
head,154,puppy,0.31744385
head,155,maltese,0.37319946
head,156,cavalier,0.31777954
head,157,terrier,0.31954956
head,158,basename,0.5041809
head,159,bloodhound,0.38864136
head,160,dogs,0.20526123
head,161,hound,0.3199768
head,162,basename,0.3246765
head,163,bloodhound,0.34960938
head,164,dogs,0.27542114
head,165,bloodhound,0.32919312
head,166,hound,0.3691101
head,167,basename,0.38323975
head,168,bloodhound,0.3588562
head,169,greyhound,0.30569458
head,170,dogs,0.23919678
head,171,basename,0.41430664
head,172,greyhound,0.46749878
head,173,basename,0.42642212
head,174,huskies,0.25756836
head,175,terrier,0.30215454
head,176,greyhound,0.3665161
head,177,greyhound,0.19949341
head,178,dogs,0.19750977
head,179,pitbull,0.31033325
head,180,pitbull,0.36386108
head,181,sheep,0.17941284
head,182,terrier,0.33773804
head,183,terrier,0.17230225
head,184,terrier,0.2805481
head,185,terrier,0.37973022
head,186,terrier,0.35879517
head,187,terrier,0.37957764
head,188,terrier,0.381073
head,189,terrier,0.276886
head,190,terrier,0.29083252
head,191,dog,0.18051147
head,192,terrier,0.33047485
head,193,terrier,0.4258728
head,194,terrier,0.38345337
head,195,basename,0.29916382
head,196,terrier,0.36114502
head,197,dogs,0.20803833
head,198,terrier,0.25924683
head,199,terrier,0.24230957
head,200,maltese,0.4086609
head,201,terrier,0.39071655
head,202,terrier,0.27352905
head,203,terrier,0.3244629
head,204,maltese,0.42358398
head,205,retriever,0.34329224
head,206,retriever,0.30389404
head,207,retriever,0.42977905
head,208,labrador,0.40130615
head,209,retriever,0.28903198
head,210,hound,0.23809814
head,211,bloodhound,0.24417114
head,212,retrieving,0.26617432
head,213,retriever,0.27581787
head,214,dogs,0.2312622
head,215,fostering,0.23114014
head,216,dogs,0.20944214
head,217,puppy,0.21102905
head,218,basename,0.20742798
head,219,puppy,0.28704834
head,220,dogs,0.25845337
head,221,grooming,0.1362915
head,222,sheep,0.29180908
head,223,fostering,0.21084595
head,224,retrieving,0.19000244
head,225,canine,0.27194214
head,226,terrier,0.21295166
head,227,dogs,0.2647705
head,228,sheep,0.36386108
head,229,terrier,0.21676636
head,230,dogs,0.22994995
head,231,deg,0.2501831
head,232,deg,0.23449707
head,233,dogs,0.17660522
head,234,bloodhound,0.28353882
head,235,dogs,0.27438354
head,236,bloodhound,0.2826233
head,237,basename,0.39788818
head,238,dogs,0.25634766
head,239,dogs,0.20324707
head,240,dogs,0.2512207
head,241,dogs,0.2635193
head,242,boxer,0.4126587
head,243,bloodhound,0.3418274
head,244,puppy,0.26409912
head,245,bulldog,0.36444092
head,246,hound,0.30062866
head,247,puppy,0.25857544
head,248,huskies,0.3661499
head,249,huskies,0.35083008
head,250,huskies,0.36212158
head,251,spots,0.24533081
head,252,terrier,0.29629517
head,253,basename,0.64126587
head,254,edgar,0.2984619
head,255,bloodhound,0.2138977
head,256,retriever,0.22167969
head,257,sheep,0.20217896
head,258,husky,0.2394104
head,259,puppy,0.30877686
head,260,fluffy,0.2607727
head,261,dog,0.2536621
head,262,terrier,0.27938843
head,263,basename,0.34732056
head,264,basename,0.28683472
head,265,maltese,0.33288574
head,266,maltese,0.35168457
head,267,puppy,0.2218628
head,268,basename,0.31869507
head,269,wolves,0.23342896
head,270,shepherd,0.22485352
head,271,firefox,0.20266724
head,272,coyote,0.22296143
head,273,basename,0.36105347
head,274,basename,0.23190308
head,275,safaris,0.1927185
head,276,pasture,0.23718262
head,277,firefox,0.19967651
head,278,kitten,0.2482605
head,279,svalbard,0.23110962
head,280,cat,0.25094604
head,281,cat,0.43026733
head,282,worldcat,0.4064026
head,283,cat,0.39727783
head,284,worldcat,0.38946533
